Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_type_combined
FDG05,,Regular,0.087421738,Frozen Foods,154.463,OUT027,1985,Medium,Tier 3,Supermarket Type3,2972.797,FD
FDB40,17.5,Regular,0.007555176,Dairy,145.9102,OUT045,2002,,Tier 2,Supermarket Type1,2187.153,FD
FDB04,11.35,Regular,0.063226306,Dairy,87.9856,OUT046,1997,Small,Tier 1,Supermarket Type1,1494.0552,FD
DRN47,12.1,Low Fat,0.0,Hard Drinks,179.866,OUT045,2002,,Tier 2,Supermarket Type1,3595.32,DR
NCO02,11.15,Low Fat,0.07366703,Others,66.2142,OUT018,2009,Medium,Tier 3,Supermarket Type2,131.8284,NC
DRE27,11.85,Low Fat,0.132560174,Dairy,97.2726,OUT013,1987,High,Tier 3,Supermarket Type1,782.9808,DR
DRH03,17.25,Low Fat,0.035118834,Dairy,93.412,OUT049,1999,Medium,Tier 1,Supermarket Type1,932.12,DR
FDE23,17.6,Regular,0.0,Starchy Foods,46.006,OUT046,1997,Small,Tier 1,Supermarket Type1,326.242,FD
FDZ60,20.5,Low Fat,0.119848041,Baking Goods,109.4596,OUT018,2009,Medium,Tier 3,Supermarket Type2,431.4384,FD
FDR33,7.31,Low Fat,0.026783871,Snack Foods,108.157,OUT035,2004,Small,Tier 2,Supermarket Type1,1098.57,FD
FDW50,13.1,Low Fat,0.075515154,Dairy,167.2158,OUT013,1987,High,Tier 3,Supermarket Type1,3008.0844,FD
NCX05,15.2,Low Fat,0.09698132,Health and Hygiene,116.3492,OUT013,1987,High,Tier 3,Supermarket Type1,2548.6824,NC
FDW14,8.3,Regular,0.038211537,Dairy,87.7198,OUT046,1997,Small,Tier 1,Supermarket Type1,1569.9564,FD
FDE41,9.195,Regular,0.064002068,Frozen Foods,85.5566,OUT035,2004,Small,Tier 2,Supermarket Type1,930.1226,FD
FDN28,5.88,Regular,0.030242184,Frozen Foods,101.799,OUT035,2004,Small,Tier 2,Supermarket Type1,515.995,FD
FDB27,7.575,Low Fat,0.055390121,Dairy,195.2768,OUT046,1997,Small,Tier 1,Supermarket Type1,5715.2272,FD
NCO29,11.15,Low Fat,0.032306341,Health and Hygiene,166.3526,OUT049,1999,Medium,Tier 1,Supermarket Type1,986.7156,NC
FDZ35,9.6,Regular,0.022278477,Breads,102.499,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.985,FD
NCO29,,Low Fat,0.032099989,Health and Hygiene,164.1526,OUT027,1985,Medium,Tier 3,Supermarket Type3,2960.1468,NC
FDF04,,Low Fat,0.023876708,Frozen Foods,258.6304,OUT019,1985,Small,Tier 1,Grocery Store,516.6608,FD
FDM33,15.6,Low Fat,0.087646694,Snack Foods,221.5798,OUT013,1987,High,Tier 3,Supermarket Type1,5509.495,FD
FDB20,7.72,Low Fat,0.05193741,Fruits and Vegetables,77.9986,OUT013,1987,High,Tier 3,Supermarket Type1,934.7832,FD
NCO42,21.25,Low Fat,0.024795057,Household,147.4102,OUT017,2007,,Tier 2,Supermarket Type1,3791.0652,NC
FDR16,5.845,Regular,0.104998144,Frozen Foods,213.2218,OUT035,2004,Small,Tier 2,Supermarket Type1,7266.5412,FD
FDT27,11.395,Regular,0.069728296,Meat,233.9616,OUT045,2002,,Tier 2,Supermarket Type1,1406.1696,FD
DRG01,,Low Fat,0.078576075,Soft Drinks,78.467,OUT019,1985,Small,Tier 1,Grocery Store,229.701,DR
DRJ37,10.8,Low Fat,0.061101383,Soft Drinks,151.9024,OUT046,1997,Small,Tier 1,Supermarket Type1,2580.6408,DR
FDR58,6.675,Low Fat,0.041913535,Snack Foods,90.7462,OUT035,2004,Small,Tier 2,Supermarket Type1,1665.8316,FD
FDM44,12.5,Low Fat,0.031023835,Fruits and Vegetables,104.099,OUT013,1987,High,Tier 3,Supermarket Type1,309.597,FD
NCA42,6.965,Low Fat,0.0,Household,159.4604,OUT013,1987,High,Tier 3,Supermarket Type1,3169.208,NC
FDD29,12.15,Low Fat,0.018410515,Frozen Foods,252.1698,OUT046,1997,Small,Tier 1,Supermarket Type1,2283.0282,FD
FDJ58,15.6,Regular,0.105276162,Snack Foods,173.2764,OUT035,2004,Small,Tier 2,Supermarket Type1,3779.0808,FD
FDJ26,,Regular,0.084354713,Canned,215.5218,OUT027,1985,Medium,Tier 3,Supermarket Type3,4915.6014,FD
FDT09,,Regular,0.012203915,Snack Foods,133.2284,OUT027,1985,Medium,Tier 3,Supermarket Type3,4350.3372,FD
DRF15,18.35,Low Fat,0.0,Dairy,151.934,OUT013,1987,High,Tier 3,Supermarket Type1,306.268,DR
NCK53,11.6,Low Fat,0.037734334,Health and Hygiene,98.1042,OUT018,2009,Medium,Tier 3,Supermarket Type2,2678.5134,NC
FDC17,,Low Fat,0.015385857,Frozen Foods,208.9928,OUT027,1985,Medium,Tier 3,Supermarket Type3,9678.0688,FD
FDS16,15.15,Regular,0.066121873,Frozen Foods,145.676,OUT013,1987,High,Tier 3,Supermarket Type1,3661.9,FD
FDP52,,Regular,0.070349402,Frozen Foods,228.601,OUT027,1985,Medium,Tier 3,Supermarket Type3,7350.432,FD
FDR32,6.78,Regular,0.0,Fruits and Vegetables,227.4694,OUT046,1997,Small,Tier 1,Supermarket Type1,3197.1716,FD
FDF46,7.07,Low Fat,0.093653464,Snack Foods,113.3834,OUT035,2004,Small,Tier 2,Supermarket Type1,1267.0174,FD
FDS27,10.195,Regular,0.012455787,Meat,197.511,OUT035,2004,Small,Tier 2,Supermarket Type1,2356.932,FD
FDC20,,Low Fat,0.041970938,Fruits and Vegetables,55.4272,OUT019,1985,Small,Tier 1,Grocery Store,111.8544,FD
FDZ13,7.84,Regular,0.154363209,Canned,50.835,OUT017,2007,,Tier 2,Supermarket Type1,599.22,FD
FDK22,,Low Fat,0.025960174,Snack Foods,214.885,OUT027,1985,Medium,Tier 3,Supermarket Type3,4976.855,FD
FDO12,15.75,Low Fat,0.054920146,Baking Goods,195.8452,OUT035,2004,Small,Tier 2,Supermarket Type1,4893.63,FD
DRG51,12.1,Low Fat,0.011539622,Dairy,163.5526,OUT046,1997,Small,Tier 1,Supermarket Type1,2302.3364,DR
FDS55,,Low Fat,0.080771137,Fruits and Vegetables,146.4734,OUT027,1985,Medium,Tier 3,Supermarket Type3,4157.2552,FD
NCK05,20.1,Low Fat,0.077389797,Health and Hygiene,60.8536,OUT013,1987,High,Tier 3,Supermarket Type1,1347.5792,NC
FDQ56,6.59,Low Fat,0.106027474,Fruits and Vegetables,83.9908,OUT018,2009,Medium,Tier 3,Supermarket Type2,1426.1436,FD
NCO54,,Low Fat,0.014205168,Household,56.7614,OUT027,1985,Medium,Tier 3,Supermarket Type3,2486.763,NC
FDB38,19.5,Regular,0.027458099,Canned,158.792,OUT018,2009,Medium,Tier 3,Supermarket Type2,2556.672,FD
DRP35,18.85,Low Fat,0.090867297,Hard Drinks,127.3336,OUT046,1997,Small,Tier 1,Supermarket Type1,3962.8416,DR
FDK15,,Low Fat,0.172309903,Meat,98.2042,OUT019,1985,Small,Tier 1,Grocery Store,198.4084,FD
FDJ10,5.095,Regular,0.129705008,Snack Foods,141.8838,OUT049,1999,Medium,Tier 1,Supermarket Type1,1966.7732,FD
FDZ13,7.84,Regular,0.154120252,Canned,51.935,OUT018,2009,Medium,Tier 3,Supermarket Type2,199.74,FD
NCZ41,19.85,Low Fat,0.064409056,Health and Hygiene,126.7704,OUT035,2004,Small,Tier 2,Supermarket Type1,1752.3856,NC
FDJ14,10.3,Regular,0.050070476,Canned,77.896,OUT046,1997,Small,Tier 1,Supermarket Type1,1278.336,FD
FDG46,8.63,Regular,0.055084019,Snack Foods,114.7518,OUT010,1998,,Tier 3,Grocery Store,455.4072,FD
NCR06,12.5,Low Fat,0.00676387,Household,40.8112,OUT035,2004,Small,Tier 2,Supermarket Type1,553.9456,NC
FDE24,14.85,Low Fat,0.09344495,Baking Goods,141.0812,OUT035,2004,Small,Tier 2,Supermarket Type1,1139.8496,FD
FDM04,9.195,Regular,0.04719387,Frozen Foods,52.8666,OUT049,1999,Medium,Tier 1,Supermarket Type1,1384.1982,FD
FDR26,20.7,Low Fat,0.04280113,Dairy,178.3028,OUT013,1987,High,Tier 3,Supermarket Type1,2479.4392,FD
DRJ47,18.25,Low Fat,0.04421348,Hard Drinks,173.408,OUT013,1987,High,Tier 3,Supermarket Type1,1038.648,DR
FDD26,8.71,Regular,0.072301795,Canned,185.6924,OUT045,2002,,Tier 2,Supermarket Type1,3331.6632,FD
FDX39,14.3,Regular,0.083147702,Meat,210.1586,OUT010,1998,,Tier 3,Grocery Store,422.1172,FD
NCB18,19.6,Low Fat,0.041355366,Household,88.7514,OUT049,1999,Medium,Tier 1,Supermarket Type1,2656.542,NC
NCN05,8.235,Low Fat,0.014518575,Health and Hygiene,182.195,OUT018,2009,Medium,Tier 3,Supermarket Type2,2380.235,NC
FDQ10,12.85,Low Fat,0.03315162,Snack Foods,170.6422,OUT013,1987,High,Tier 3,Supermarket Type1,2931.5174,FD
NCF07,,Low Fat,0.031867464,Household,101.0016,OUT027,1985,Medium,Tier 3,Supermarket Type3,2125.2336,NC
FDW55,12.6,Regular,0.0,Fruits and Vegetables,248.8092,OUT035,2004,Small,Tier 2,Supermarket Type1,6723.2484,FD
FDT09,15.15,Regular,0.012260981,Snack Foods,131.7284,OUT035,2004,Small,Tier 2,Supermarket Type1,1186.4556,FD
FDX56,,Regular,0.129668578,Fruits and Vegetables,206.8638,OUT019,1985,Small,Tier 1,Grocery Store,207.0638,FD
FDL08,,Low Fat,0.049478259,Fruits and Vegetables,245.4144,OUT027,1985,Medium,Tier 3,Supermarket Type3,3675.216,FD
FDQ48,14.3,Regular,0.034411238,Baking Goods,98.6726,OUT046,1997,Small,Tier 1,Supermarket Type1,782.9808,FD
FDT46,11.35,Low Fat,0.0,Snack Foods,52.4008,OUT035,2004,Small,Tier 2,Supermarket Type1,809.6128,FD
FDW27,,Regular,0.150122794,Meat,154.5314,OUT027,1985,Medium,Tier 3,Supermarket Type3,1396.1826,FD
FDC17,12.15,Low Fat,0.015523707,Frozen Foods,212.0928,OUT018,2009,Medium,Tier 3,Supermarket Type2,2735.1064,FD
FDZ55,6.055,Low Fat,0.025512207,Fruits and Vegetables,159.692,OUT018,2009,Medium,Tier 3,Supermarket Type2,5592.72,FD
FDT21,7.42,Low Fat,0.020374875,Snack Foods,248.0092,OUT013,1987,High,Tier 3,Supermarket Type1,1245.046,FD
NCX42,6.36,Low Fat,0.006012413,Household,163.0526,OUT017,2007,,Tier 2,Supermarket Type1,1644.526,NC
FDN23,,Regular,0.075142108,Breads,145.8444,OUT027,1985,Medium,Tier 3,Supermarket Type3,3773.7544,FD
FDX23,6.445,Low Fat,0.029667053,Baking Goods,94.4436,OUT013,1987,High,Tier 3,Supermarket Type1,1134.5232,FD
NCV06,11.3,Low Fat,0.066668724,Household,192.4478,OUT035,2004,Small,Tier 2,Supermarket Type1,2712.4692,NC
FDL10,8.395,Low Fat,0.039492207,Snack Foods,97.3042,OUT046,1997,Small,Tier 1,Supermarket Type1,1091.2462,FD
NCF55,6.675,Low Fat,0.021710275,Household,34.9874,OUT045,2002,,Tier 2,Supermarket Type1,247.0118,NC
FDI14,14.1,Low Fat,0.090185027,Canned,140.2496,OUT017,2007,,Tier 2,Supermarket Type1,2681.8424,FD
DRI23,18.85,Low Fat,0.137755834,Hard Drinks,161.8578,OUT018,2009,Medium,Tier 3,Supermarket Type2,3530.0716,DR
FDR11,10.5,Regular,0.142511272,Breads,158.7578,OUT035,2004,Small,Tier 2,Supermarket Type1,2246.4092,FD
FDM08,10.1,Regular,0.053887301,Fruits and Vegetables,225.6088,OUT017,2007,,Tier 2,Supermarket Type1,4250.4672,FD
NCT17,,Low Fat,0.041663111,Health and Hygiene,188.6214,OUT027,1985,Medium,Tier 3,Supermarket Type3,6029.4848,NC
NCO43,5.5,Low Fat,0.0,Others,103.1016,OUT045,2002,,Tier 2,Supermarket Type1,2024.032,NC
FDR07,,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.9786,FD
FDT58,9.0,Low Fat,0.143870574,Snack Foods,169.4816,OUT010,1998,,Tier 3,Grocery Store,503.3448,FD
FDB14,20.25,Regular,0.102723919,Canned,93.212,OUT046,1997,Small,Tier 1,Supermarket Type1,1957.452,FD
FDW48,18.0,Low Fat,0.008554102,Baking Goods,79.3618,OUT049,1999,Medium,Tier 1,Supermarket Type1,805.618,FD
DRG36,14.15,Low Fat,0.09557165,Soft Drinks,171.0106,OUT045,2002,,Tier 2,Supermarket Type1,4106.6544,DR
FDB20,7.72,Low Fat,0.052274691,Fruits and Vegetables,79.1986,OUT017,2007,,Tier 2,Supermarket Type1,778.986,FD
DRF25,9.0,Low Fat,0.038917891,Soft Drinks,35.919,OUT035,2004,Small,Tier 2,Supermarket Type1,1171.808,DR
FDS23,4.635,Low Fat,0.141108156,Breads,128.2994,OUT049,1999,Medium,Tier 1,Supermarket Type1,2698.4874,FD
FDL20,17.1,Low Fat,0.128614205,Fruits and Vegetables,111.6886,OUT049,1999,Medium,Tier 1,Supermarket Type1,1556.6404,FD
FDJ09,15.0,Low Fat,0.058725134,Snack Foods,43.6744,OUT017,2007,,Tier 2,Supermarket Type1,407.4696,FD
NCY41,16.75,Low Fat,0.126765903,Health and Hygiene,35.7532,OUT010,1998,,Tier 3,Grocery Store,143.8128,NC
FDF45,18.2,Regular,0.012229464,Fruits and Vegetables,56.8904,OUT045,2002,,Tier 2,Supermarket Type1,1406.1696,FD
FDO16,5.48,Low Fat,0.02528802,Frozen Foods,83.325,OUT010,1998,,Tier 3,Grocery Store,416.125,FD
FDA08,11.85,Regular,0.050085152,Fruits and Vegetables,164.7526,OUT046,1997,Small,Tier 1,Supermarket Type1,1315.6208,FD
FDH44,19.1,Regular,0.025912378,Fruits and Vegetables,146.8418,OUT049,1999,Medium,Tier 1,Supermarket Type1,1765.7016,FD
NCW53,18.35,Low Fat,0.030556922,Health and Hygiene,190.6162,OUT045,2002,,Tier 2,Supermarket Type1,3271.0754,NC
FDY33,14.5,Regular,0.0,Snack Foods,159.3262,OUT035,2004,Small,Tier 2,Supermarket Type1,2864.2716,FD
FDW59,13.15,Low Fat,0.020711996,Breads,82.7566,OUT035,2004,Small,Tier 2,Supermarket Type1,1691.132,FD
FDX60,14.35,Low Fat,0.080922439,Baking Goods,80.096,OUT018,2009,Medium,Tier 3,Supermarket Type2,1278.336,FD
FDD04,16.0,Low Fat,0.090111173,Dairy,141.3154,OUT049,1999,Medium,Tier 1,Supermarket Type1,3261.7542,FD
FDQ27,5.19,Regular,0.044321422,Meat,103.899,OUT049,1999,Medium,Tier 1,Supermarket Type1,2889.572,FD
FDI21,5.59,Regular,0.056833394,Snack Foods,61.9168,OUT018,2009,Medium,Tier 3,Supermarket Type2,1214.4192,FD
FDF02,16.2,Low Fat,0.103634038,Canned,101.399,OUT049,1999,Medium,Tier 1,Supermarket Type1,1031.99,FD
FDX11,16.0,Regular,0.106731895,Baking Goods,183.6634,OUT035,2004,Small,Tier 2,Supermarket Type1,2544.6876,FD
FDQ13,11.1,Low Fat,0.010639596,Canned,84.1908,OUT035,2004,Small,Tier 2,Supermarket Type1,755.0172,FD
FDL36,15.1,Low Fat,0.076505799,Baking Goods,91.583,OUT017,2007,,Tier 2,Supermarket Type1,539.298,FD
FDU32,,Low Fat,0.045465958,Fruits and Vegetables,120.8414,OUT019,1985,Small,Tier 1,Grocery Store,852.8898,FD
FDF20,12.85,Low Fat,0.033192524,Fruits and Vegetables,199.0768,OUT013,1987,High,Tier 3,Supermarket Type1,3153.2288,FD
FDZ16,16.85,Regular,0.267565911,Frozen Foods,194.1478,OUT010,1998,,Tier 3,Grocery Store,1162.4868,FD
FDA08,11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,OUT045,2002,,Tier 2,Supermarket Type1,3124.5994,FD
FDR43,18.2,Low Fat,0.161458973,Fruits and Vegetables,37.819,OUT035,2004,Small,Tier 2,Supermarket Type1,256.333,FD
FDT10,16.7,Regular,0.062170334,Snack Foods,60.9562,OUT045,2002,,Tier 2,Supermarket Type1,829.5868,FD
FDY51,12.5,Low Fat,0.081134826,Meat,220.0798,OUT046,1997,Small,Tier 1,Supermarket Type1,4848.3556,FD
DRD60,15.7,Low Fat,0.037201127,Soft Drinks,181.7634,OUT013,1987,High,Tier 3,Supermarket Type1,2544.6876,DR
FDQ20,8.325,Low Fat,0.029845243,Fruits and Vegetables,41.6138,OUT045,2002,,Tier 2,Supermarket Type1,284.2966,FD
FDY34,10.5,Regular,0.011026594,Snack Foods,166.4842,OUT018,2009,Medium,Tier 3,Supermarket Type2,2652.5472,FD
NCQ43,17.75,Low Fat,0.11147467,Others,108.0912,OUT049,1999,Medium,Tier 1,Supermarket Type1,1637.868,NC
NCP41,16.6,Low Fat,0.016197216,Health and Hygiene,108.8596,OUT013,1987,High,Tier 3,Supermarket Type1,970.7364,NC
NCZ30,6.59,Low Fat,0.043828293,Household,121.4098,OUT010,1998,,Tier 3,Grocery Store,241.0196,NC
NCL55,12.15,Low Fat,0.065026434,Others,253.704,OUT017,2007,,Tier 2,Supermarket Type1,5060.08,NC
FDI32,17.7,Low Fat,0.174340475,Fruits and Vegetables,116.6834,OUT035,2004,Small,Tier 2,Supermarket Type1,3570.6854,FD
FDE28,9.5,Regular,0.0,Frozen Foods,231.3668,OUT013,1987,High,Tier 3,Supermarket Type1,5759.17,FD
